trace,C1,B,S1,C2,S2,prefetch,r,L1_AAT,L1_HR,L1_MR,L2_AAT,L2_RHR,L2_RMR,PF_issued,PF_hits,PF_misses,L1_misses,L2_rhits,L2_rmisses,WB_L1
gcc,15,6,2,17,3,hybrid,128,2.803,0.988,0.012,32.834,0.720,0.280,1130,652,294,6130,4411,1719,2776
gcc,15,6,2,17,3,hybrid,256,2.801,0.988,0.012,32.677,0.722,0.278,1132,659,290,6130,4423,1707,2776
gcc,15,6,2,17,3,hybrid,512,2.801,0.988,0.012,32.743,0.721,0.279,1129,658,285,6130,4418,1712,2776
gcc,15,6,2,17,4,hybrid,4,2.801,0.988,0.012,32.681,0.731,0.269,1120,641,263,6130,4484,1646,2776
gcc,15,6,2,17,4,hybrid,16,2.801,0.988,0.012,32.681,0.731,0.269,1119,641,261,6130,4484,1646,2776
gcc,15,6,2,17,4,hybrid,32,2.801,0.988,0.012,32.668,0.732,0.268,1118,642,258,6130,4485,1645,2776
gcc,15,6,2,17,4,hybrid,64,2.800,0.988,0.012,32.616,0.732,0.268,1113,644,252,6130,4489,1641,2776
gcc,15,6,2,17,4,hybrid,128,2.799,0.988,0.012,32.577,0.733,0.267,1111,647,252,6130,4492,1638,2776
gcc,15,6,2,17,4,hybrid,256,2.800,0.988,0.012,32.590,0.733,0.267,1112,646,254,6130,4491,1639,2776
gcc,15,6,2,17,4,hybrid,512,2.800,0.988,0.012,32.616,0.732,0.268,1108,646,250,6130,4489,1641,2776
gcc,15,6,3,16,3,hybrid,4,3.127,0.989,0.011,48.851,0.519,0.481,1658,624,993,5397,2803,2594,2574
gcc,15,6,3,16,3,hybrid,16,3.127,0.989,0.011,48.851,0.519,0.481,1649,624,984,5397,2803,2594,2574
gcc,15,6,3,16,3,hybrid,32,3.127,0.989,0.011,48.851,0.519,0.481,1647,624,982,5397,2803,2594,2574
gcc,15,6,3,16,3,hybrid,64,3.128,0.989,0.011,48.881,0.519,0.481,1635,624,970,5397,2801,2596,2574
gcc,15,6,3,16,3,hybrid,128,3.122,0.989,0.011,48.362,0.525,0.475,1576,642,893,5397,2836,2561,2574
gcc,15,6,3,16,3,hybrid,256,3.113,0.989,0.011,47.532,0.536,0.464,1554,689,826,5397,2892,2505,2574
gcc,15,6,3,16,3,hybrid,512,3.104,0.989,0.011,46.702,0.546,0.454,1556,725,800,5397,2948,2449,2574
gcc,15,6,3,16,4,hybrid,4,3.125,0.989,0.011,48.628,0.532,0.468,1616,573,1011,5397,2872,2525,2574
gcc,15,6,3,16,4,hybrid,16,3.125,0.989,0.011,48.628,0.532,0.468,1611,573,1006,5397,2872,2525,2574
gcc,15,6,3,16,4,hybrid,32,3.125,0.989,0.011,48.628,0.532,0.468,1607,573,1002,5397,2872,2525,2574
gcc,15,6,3,16,4,hybrid,64,3.123,0.989,0.011,48.480,0.534,0.466,1591,574,985,5397,2882,2515,2574
gcc,15,6,3,16,4,hybrid,128,3.119,0.989,0.011,48.050,0.539,0.461,1551,591,929,5397,2911,2486,2574
gcc,15,6,3,16,4,hybrid,256,3.110,0.989,0.011,47.294,0.549,0.451,1549,637,884,5397,2962,2435,2574
gcc,15,6,3,16,4,hybrid,512,3.101,0.989,0.011,46.449,0.559,0.441,1561,672,869,5397,3019,2378,2574
gcc,15,6,3,17,3,hybrid,4,2.987,0.989,0.011,35.881,0.681,0.319,1161,646,326,5397,3678,1719,2574
gcc,15,6,3,17,3,hybrid,16,2.987,0.989,0.011,35.881,0.681,0.319,1156,646,321,5397,3678,1719,2574
gcc,15,6,3,17,3,hybrid,32,2.987,0.989,0.011,35.866,0.682,0.318,1151,647,316,5397,3679,1718,2574
gcc,15,6,3,17,3,hybrid,64,2.987,0.989,0.011,35.851,0.682,0.318,1148,648,312,5397,3680,1717,2574
gcc,15,6,3,17,3,hybrid,128,2.986,0.989,0.011,35.733,0.683,0.317,1137,655,297,5397,3688,1709,2574
gcc,15,6,3,17,3,hybrid,256,2.983,0.989,0.011,35.525,0.686,0.314,1133,662,289,5397,3702,1695,2574
gcc,15,6,3,17,3,hybrid,512,2.983,0.989,0.011,35.495,0.686,0.314,1128,665,282,5397,3704,1693,2574
gcc,15,6,3,17,4,hybrid,4,2.982,0.989,0.011,35.436,0.697,0.303,1115,641,257,5397,3762,1635,2574
gcc,15,6,3,17,4,hybrid,16,2.982,0.989,0.011,35.436,0.697,0.303,1114,641,256,5397,3762,1635,2574
gcc,15,6,3,17,4,hybrid,32,2.982,0.989,0.011,35.406,0.697,0.303,1116,642,259,5397,3764,1633,2574
gcc,15,6,3,17,4,hybrid,64,2.982,0.989,0.011,35.406,0.697,0.303,1110,642,253,5397,3764,1633,2574
gcc,15,6,3,17,4,hybrid,128,2.982,0.989,0.011,35.391,0.698,0.302,1107,644,252,5397,3765,1632,2574
gcc,15,6,3,17,4,hybrid,256,2.982,0.989,0.011,35.406,0.697,0.303,1110,644,254,5397,3764,1633,2574
gcc,15,6,3,17,4,hybrid,512,2.982,0.989,0.011,35.376,0.698,0.302,1108,646,252,5397,3766,1631,2574
leela,14,6,1,16,3,hybrid,4,2.341,0.992,0.008,18.775,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,16,3,hybrid,16,2.341,0.992,0.008,18.775,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,16,3,hybrid,32,2.341,0.992,0.008,18.775,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,16,3,hybrid,64,2.341,0.992,0.008,18.775,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,16,3,hybrid,128,2.341,0.992,0.008,18.775,0.895,0.105,226,168,0,3754,3361,393,386
leela,14,6,1,16,3,hybrid,256,2.341,0.992,0.008,18.775,0.895,0.105,226,168,0,3754,3361,393,386
